,Custom_Difference,Matched_Rows
"('VT26', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",70.1544380487266,67418
"('VT24', '20180222-57WIooVH-VT__R6F14_RN1RP1')",70.1695517056618,67242
"('VT23', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",70.20085736006358,67691
"('VT27', '20180222-57NYooVH-VT__R7F2_RN1RP3')",70.20170536343663,68742
"('VT35', '20180222-57WIooVL-VT__R6F19_RN1RP3')",70.21304215256986,62457
"('VT26', '20180222-57WIooVH-VT__R6F14_RN1RP1')",70.29590782483297,66853
"('VT23', '20180222-57WIooVL-VT__R6F18_RN1RP2')",70.30813789166668,66636
"('VT21', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",70.32303298338606,68517
"('VT23', '20180222-57WIooVH-VT__R6F14_RN1RP1')",70.32356583824117,67148
"('VT27', '20180222-57WIooVH-VT__R6F14_RN1RP1')",70.3300438105552,67973
"('VT22', '20180222-57WIooVL-VT__R6F18_RN1RP2')",70.34669436944922,67919
"('VT24', '20180222-57WIooVL-VT__R6F18_RN1RP2')",70.39489090359051,66810
"('VT21', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",70.39828805128656,68520
"('VT23', '20180222-57OOsaVH-VT__R6F13_RN1RP3')",70.42020376556526,68422
"('VT27', '20180222-57OOsaVH-VT__R6F12_RN1RP2')",70.46329955106333,68925
"('VT26', '20180222-57OOsaVH-VT__R6F13_RN1RP3')",70.50811940616641,68204
"('VT26', '20180222-57WIooVL-VT__R6F18_RN1RP2')",70.53134829068507,66304
"('VT27', '20180222-57NYooVH-VT__R6F20_RN1RP1')",70.53702607853913,68135
"('VT27', '20180222-57OOsaVH-VT__R6F13_RN1RP3')",70.59496389595787,69101
"('VT24', '20180222-57WIsaVL-VT__R6F6_RN1RP3')",70.60446597960542,67953
"('VT22', '20180222-57WIsaVL-VT__R6F6_RN1RP3')",70.61535906797258,68947
"('VT25', '20180222-57NYsaVH-VT__R6F10_RN1RP3')",70.63317712466089,68654
"('VT24', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",70.64029020058021,67786
"('VT25', '20180222-57WIooVH-VT__R6F16_RN1RP3')",70.68321474729129,67793
