,Positive,Negative,Proportion
"('VT3', '20180222-24NYooVH-VG__R9F8_RN1RP3')",76719,1993,0.9746798455127553
"('VT3', '20180222-24OOooVH-VG__R9F10_RN1RP2')",76716,1996,0.9746417318833215
"('VT3', '20180222-24OOooVH-VG__R9F9_RN1RP1')",76714,1998,0.9746163227970323
"('VT13', '20180222-71OOooPA-VV__R5F2_RN1RP2')",76713,1999,0.9746036182538876
"('VT3', '20180222-24WIooVL-VG__R9F2_RN1RP1')",76713,1999,0.9746036182538876
"('VT13', '20180222-71OOooPA-VV__R5F3_RN1RP3')",76709,2003,0.9745528000813091
"('VT9', '20180222-71OOooPA-VV__R5F1_RN1RP1')",76709,2003,0.9745528000813091
"('VT3', '20180222-24WIooVL-VG__R9F4_RN1RP3')",76705,2007,0.9745019819087306
"('VT9', '20180222-71OOooPA-VV__R5F2_RN1RP2')",76703,2009,0.9744765728224413
"('VT8', '20180222-71OOooPA-VV__R5F1_RN1RP1')",76703,2009,0.9744765728224413
"('VT9', '20180222-71OOooPA-VV__R5F3_RN1RP3')",76698,2014,0.9744130501067182
"('VT8', '20180222-71OOooPA-VV__R5F2_RN1RP2')",76697,2015,0.9744003455635736
"('VT2', '20180222-71OOooPA-VV__R5F1_RN1RP1')",76695,2017,0.9743749364772842
"('VT8', '20180222-71OOooPA-VV__R5F3_RN1RP3')",76693,2019,0.974349527390995
"('VT5', '20180222-24WIooVL-VG__R9F3_RN1RP2')",76691,2021,0.9743241183047058
"('VT5', '20180222-24NYooVH-VG__R9F5_RN1RP1')",76690,2022,0.9743114137615612
"('VT2', '20180222-71OOooPA-VV__R5F2_RN1RP2')",76689,2023,0.9742987092184165
"('VT5', '20180222-24NYooVH-VG__R9F6_RN1RP2')",76688,2024,0.9742860046752718
"('VT5', '20180222-24OOooVH-VG__R9F11_RN1RP3')",76687,2025,0.9742733001321272
"('VT5', '20180222-24NYooVH-VG__R9F8_RN1RP3')",76687,2025,0.9742733001321272
"('VT2', '20180222-71OOooPA-VV__R5F3_RN1RP3')",76685,2027,0.974247891045838
"('VT5', '20180222-24OOooVH-VG__R9F10_RN1RP2')",76684,2028,0.9742351865026934
"('VT5', '20180222-24OOooVH-VG__R9F9_RN1RP1')",76681,2031,0.9741970728732595
"('VT5', '20180222-24WIooVL-VG__R9F2_RN1RP1')",76677,2035,0.974146254700681
"('VT3', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",76675,2037,0.9741208456143917
"('VT5', '20180222-24WIooVL-VG__R9F4_RN1RP3')",76667,2045,0.9740192092692347
"('VT3', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",76664,2048,0.9739810956398008
"('VT3', '20180222-71WIsaSL-VV__R2F3_RN2RP3')",76664,2048,0.9739810956398008
"('VT3', '20180222-24WIsaVH-VG__R3F11_RN1RP3')",76663,2049,0.9739683910966561
"('VT3', '20180222-24WIsaVH-VG__R3F9_RN1RP1')",76659,2053,0.9739175729240777
"('VT12', '20180222-24NYooVH-VG__R9F6_RN1RP2')",76659,2053,0.9739175729240777
"('VT12', '20180222-24NYooVH-VG__R9F5_RN1RP1')",76659,2053,0.9739175729240777
"('VT12', '20180222-24WIooVL-VG__R9F3_RN1RP2')",76659,2053,0.9739175729240777
"('VT12', '20180222-24NYooVH-VG__R9F8_RN1RP3')",76654,2058,0.9738540502083545
"('VT3', '20180222-24WIsaVH-VG__R3F10_RN1RP2')",76654,2058,0.9738540502083545
"('VT12', '20180222-24OOooVH-VG__R9F11_RN1RP3')",76654,2058,0.9738540502083545
"('VT12', '20180222-24OOooVH-VG__R9F10_RN1RP2')",76648,2064,0.9737778229494868
"('VT12', '20180222-24OOooVH-VG__R9F9_RN1RP1')",76648,2064,0.9737778229494868
"('VT14', '20180222-24WIooVL-VG__R9F3_RN1RP2')",76646,2066,0.9737524138631974
"('VT5', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",76646,2066,0.9737524138631974
"('VT14', '20180222-24NYooVH-VG__R9F5_RN1RP1')",76645,2067,0.9737397093200528
"('VT12', '20180222-24WIooVL-VG__R9F2_RN1RP1')",76645,2067,0.9737397093200528
"('VT14', '20180222-24NYooVH-VG__R9F6_RN1RP2')",76643,2069,0.9737143002337636
"('VT1', '20180222-71WIooPA-VV__R2F19_RN2RP2')",76642,2070,0.973701595690619
"('VT14', '20180222-24NYooVH-VG__R9F8_RN1RP3')",76641,2071,0.9736888911474744
"('VT14', '20180222-24OOooVH-VG__R9F11_RN1RP3')",76640,2072,0.9736761866043298
"('VT5', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",76637,2075,0.9736380729748958
"('VT14', '20180222-24OOooVH-VG__R9F10_RN1RP2')",76637,2075,0.9736380729748958
"('VT1', '20180222-71WIooPA-VV__R2F18_RN2RP1')",76636,2076,0.9736253684317512
"('VT1', '20180222-71WIooPA-VV__R2F20_RN2RP3')",76636,2076,0.9736253684317512
"('VT12', '20180222-24WIooVL-VG__R9F4_RN1RP3')",76635,2077,0.9736126638886066
"('VT3', '20180222-24WIooVH-VG__R9F1_RN1RP3')",76635,2077,0.9736126638886066
"('VT14', '20180222-24OOooVH-VG__R9F9_RN1RP1')",76635,2077,0.9736126638886066
"('VT5', '20180222-71WIsaSL-VV__R2F3_RN2RP3')",76635,2077,0.9736126638886066
"('VT14', '20180222-24WIooVL-VG__R9F2_RN1RP1')",76633,2079,0.9735872548023173
"('VT5', '20180222-24WIsaVH-VG__R3F11_RN1RP3')",76628,2084,0.9735237320865942
"('VT14', '20180222-24WIooVL-VG__R9F4_RN1RP3')",76623,2089,0.9734602093708711
"('VT5', '20180222-24WIsaVH-VG__R3F9_RN1RP1')",76621,2091,0.9734348002845817
"('VT15', '20180222-24NYooVH-VG__R9F5_RN1RP1')",76618,2094,0.9733966866551479
"('VT15', '20180222-24WIooVL-VG__R9F3_RN1RP2')",76617,2095,0.9733839821120033
"('VT15', '20180222-24NYooVH-VG__R9F8_RN1RP3')",76614,2098,0.9733458684825693
"('VT15', '20180222-24NYooVH-VG__R9F6_RN1RP2')",76614,2098,0.9733458684825693
"('VT5', '20180222-24WIsaVH-VG__R3F10_RN1RP2')",76614,2098,0.9733458684825693
"('VT15', '20180222-24OOooVH-VG__R9F11_RN1RP3')",76611,2101,0.9733077548531355
"('VT10', '20180222-24WIooVL-VG__R9F3_RN1RP2')",76611,2101,0.9733077548531355
"('VT10', '20180222-24NYooVH-VG__R9F5_RN1RP1')",76610,2102,0.9732950503099909
"('VT12', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",76609,2103,0.9732823457668462
"('VT10', '20180222-24NYooVH-VG__R9F6_RN1RP2')",76608,2104,0.9732696412237016
"('VT10', '20180222-24NYooVH-VG__R9F8_RN1RP3')",76606,2106,0.9732442321374123
"('VT15', '20180222-24OOooVH-VG__R9F10_RN1RP2')",76606,2106,0.9732442321374123
"('VT10', '20180222-24OOooVH-VG__R9F11_RN1RP3')",76605,2107,0.9732315275942677
"('VT15', '20180222-24OOooVH-VG__R9F9_RN1RP1')",76605,2107,0.9732315275942677
"('VT15', '20180222-24WIooVL-VG__R9F2_RN1RP1')",76604,2108,0.9732188230511231
"('VT11', '20180222-24WIooVL-VG__R9F3_RN1RP2')",76601,2111,0.9731807094216892
