,Positive,Negative,Proportion
"('VT10', '20180222-24NYooVH-VG__R9F8_RN1RP3')",0,2120,0.0
"('VT10', '20180222-24OOooVH-VG__R9F9_RN1RP1')",0,2126,0.0
"('VT3', '20180222-71WIsaSL-VV__R2F3_RN2RP3')",0,2057,0.0
"('VT4', '20180222-71WIooPA-VV__R2F18_RN2RP1')",0,2179,0.0
"('VT12', '20180222-71WIooPA-VV__R2F20_RN2RP3')",0,1825,0.0
"('VT12', '20180222-24WIooVL-VG__R9F3_RN1RP2')",0,2065,0.0
"('VT12', '20180222-24WIooVL-VG__R9F4_RN1RP3')",0,2089,0.0
"('VT5', '20180222-71NYsaSL-VV__R2F8_RN2RP1')",0,2261,0.0
"('VT12', '20180222-24OOsaVH-VG__R3F19_RN1RP2')",0,5651,0.0
"('VT12', '20180222-24OOsaVH-VG__R3F18_RN1RP1')",0,5657,0.0
"('VT12', '20180222-24WIsaVL-VG__R3F14_RN1RP3')",0,6134,0.0
"('VT5', '20180222-71WIsaSV-VV__R2F6_RN2RP3')",0,2773,0.0
"('VT5', '20180222-71WIsaSV-VV__R2F5_RN2RP2')",0,2497,0.0
"('VT5', '20180222-24WIooVL-VG__R9F4_RN1RP3')",0,2051,0.0
"('VT5', '20180222-24WIooVL-VG__R9F3_RN1RP2')",0,2027,0.0
"('VT5', '20180222-24WIooVL-VG__R9F2_RN1RP1')",0,2041,0.0
"('VT12', '20180222-24WIsaVL-VG__R3F12_RN1RP1')",0,3985,0.0
"('VT5', '20180222-71WIooPA-VV__R2F20_RN2RP3')",0,1786,0.0
"('VT5', '20180222-71WIooPA-VV__R2F18_RN2RP1')",0,1786,0.0
"('VT5', '20180222-71OOooPA-VV__R5F3_RN1RP3')",0,1841,0.0
"('VT5', '20180222-71OOooPA-VV__R5F2_RN1RP2')",0,1837,0.0
"('VT5', '20180222-71OOooPA-VV__R5F1_RN1RP1')",0,1831,0.0
"('VT12', '20180222-71WIsaSV-VV__R2F5_RN2RP2')",0,2536,0.0
"('VT5', '20180222-24OOooVH-VG__R9F9_RN1RP1')",0,2037,0.0
"('VT14', '20180222-24OOooVH-VG__R9F11_RN1RP3')",0,2087,0.0
"('VT5', '20180222-24NYooVH-VG__R9F5_RN1RP1')",0,2028,0.0
"('VT5', '20180222-24WIsaVH-VG__R3F10_RN1RP2')",0,2104,0.0
"('VT12', '20180222-24WIooVH-VG__R5F11_RN1RP2')",0,2205,0.0
"('VT12', '20180222-24WIooVH-VG__R5F10_RN1RP1')",0,2217,0.0
"('VT12', '20180222-24WIooVH-VG__R9F1_RN1RP3')",0,2160,0.0
"('VT12', '20180222-71WIsaSL-VV__R2F3_RN2RP3')",0,2125,0.0
