,Positive,Negative,Proportion
"('VT29', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",11444,52295,0.17954470575314957
"('VT21', '20180222-57NYsaVH-VT__R6F8_RN1RP1')",11431,57815,0.16507812725644802
"('VT26', '20180222-57OOsaVH-VT__R6F13_RN1RP3')",11427,56777,0.16754149316755615
"('VT26', '20180222-57NYooVH-VT__R7F1_RN1RP2')",11386,56051,0.16883906460844936
"('VT26', '20180222-57WIooVH-VT__R6F14_RN1RP1')",11385,55468,0.17029901425515684
"('VT29', '20180222-57WIsaVL-VT__R6F6_RN1RP3')",11379,52643,0.17773577832620036
"('VT19', '20180222-57NYsaVH-VT__R6F8_RN1RP1')",11374,57924,0.16413172097318826
"('VT26', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",11371,56068,0.16861163421758923
"('VT23', '20180222-57OOsaVH-VT__R6F12_RN1RP2')",11338,56948,0.16603696218844272
"('VT21', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",11314,57203,0.16512690281244072
"('VT29', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",11280,52910,0.1757283065898115
"('VT23', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",11254,56492,0.1661205089599386
"('VT29', '20180222-57WIooVL-VT__R6F17_RN1RP1')",11197,51069,0.179825265795137
"('VT19', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",11123,57502,0.16208378870673953
"('VT19', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",11118,57493,0.16204398711576862
"('VT22', '20180222-57WIsaVL-VT__R6F5_RN1RP2')",11058,58302,0.15942906574394464
"('VT24', '20180222-57OOsaVH-VT__R6F12_RN1RP2')",11050,57222,0.16185258964143426
"('VT23', '20180222-57NYsaVH-VT__R6F10_RN1RP3')",11048,56786,0.16286817819972285
"('VT34', '20180222-57NYooVH-VT__R6F20_RN1RP1')",11021,50540,0.17902568184402462
"('VT24', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",10993,56899,0.16191893006539798
"('VT27', '20180222-57NYsaVH-VT__R6F8_RN1RP1')",10972,58045,0.15897532491994726
"('VT21', '20180222-57NYooVH-VT__R7F1_RN1RP2')",10932,57851,0.15893462047308202
"('VT29', '20180222-57WIooVL-VT__R6F18_RN1RP2')",10901,51537,0.17458919247893911
"('VT35', '20180222-57OOooVH-VT__R8F11_RN1RP3')",10870,51010,0.17566257272139624
"('VT24', '20180222-57OOooVH-VT__R7F3_RN1RP1')",10834,55276,0.16387838451066405
"('VT21', '20180222-57OOsaVH-VT__R6F13_RN1RP3')",10829,58469,0.15626713613668505
"('VT24', '20180222-57NYsaVH-VT__R6F10_RN1RP3')",10810,57180,0.15899396970142668
"('VT29', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",10798,53290,0.16848708026463613
"('VT23', '20180222-57OOooVH-VT__R7F3_RN1RP1')",10783,55161,0.16351753002547617
"('VT19', '20180222-57WIsaVL-VT__R6F5_RN1RP2')",10767,58614,0.1551865784580793
"('VT23', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",10730,56781,0.15893706210839714
"('VT26', '20180222-57OOsaVH-VT__R6F12_RN1RP2')",10726,57335,0.15759392309839704
"('VT21', '20180222-57WIsaVL-VT__R6F5_RN1RP2')",10695,58615,0.15430673784446688
"('VT24', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",10653,56928,0.15763306254716564
"('VT34', '20180222-57WIooVH-VT__R6F15_RN1RP2')",10652,49780,0.1762642308710617
"('VT26', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",10646,56844,0.15774188768706476
"('VT29', '20180222-57WIooVH-VT__R6F14_RN1RP1')",10645,52580,0.16836694345591144
"('VT23', '20180222-57WIooVL-VT__R6F18_RN1RP2')",10640,55996,0.15967344978690198
"('VT20', '20180222-57NYsaVH-VT__R6F8_RN1RP1')",10626,59818,0.150843222985634
"('VT23', '20180222-57WIsaVL-VT__R6F6_RN1RP3')",10596,57168,0.15636621214804322
"('VT29', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",10592,53490,0.16528822446240754
"('VT21', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",10585,58419,0.15339690452727378
"('VT19', '20180222-57NYooVH-VT__R7F1_RN1RP2')",10575,58244,0.15366395908106772
"('VT19', '20180222-57OOsaVH-VT__R6F13_RN1RP3')",10559,58849,0.1521294375288151
"('VT32', '20180222-57NYooVH-VT__R6F20_RN1RP1')",10553,50222,0.17364047716988892
"('VT26', '20180222-57OOooVH-VT__R7F3_RN1RP1')",10538,55040,0.16069413522827777
"('VT22', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",10476,58340,0.15223203906068355
"('VT27', '20180222-57WIsaVL-VT__R6F5_RN1RP2')",10473,58523,0.15179140819757667
"('VT26', '20180222-57NYsaVH-VT__R6F10_RN1RP3')",10457,57134,0.1547099465905224
"('VT19', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",10445,58498,0.15150196539170038
"('VT21', '20180222-57OOsaVH-VT__R6F12_RN1RP2')",10405,58806,0.15033737411683115
"('VT25', '20180222-57NYsaVH-VT__R6F8_RN1RP1')",10397,58600,0.15068771105990114
"('VT24', '20180222-57WIsaVL-VT__R6F6_RN1RP3')",10387,57566,0.15285565022883463
"('VT22', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",10384,58421,0.15091926458832933
"('VT26', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",10381,56796,0.15453205710287748
"('VT35', '20180222-57NYsaVH-VT__R6F8_RN1RP1')",10359,55208,0.1579910625772111
"('VT29', '20180222-57WIooVL-VT__R6F19_RN1RP3')",10315,51383,0.1671853220525787
"('VT32', '20180222-57WIooVL-VT__R6F19_RN1RP3')",10282,48100,0.176115926141619
"('VT22', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",10281,58719,0.149
"('VT21', '20180222-57WIooVH-VT__R6F14_RN1RP1')",10268,58022,0.1503587640943037
"('VT19', '20180222-57WIooVH-VT__R6F14_RN1RP1')",10247,58088,0.14995244018438575
"('VT24', '20180222-57WIooVL-VT__R6F18_RN1RP2')",10237,56573,0.15322556503517437
"('VT20', '20180222-57WIsaVL-VT__R6F5_RN1RP2')",10215,60350,0.1447601502161128
"('VT26', '20180222-57WIooVL-VT__R6F18_RN1RP2')",10214,56090,0.15404802123552125
"('VT32', '20180222-57WIooVH-VT__R6F15_RN1RP2')",10190,49374,0.17107648915452286
"('VT20', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",10159,59706,0.14540900307736349
"('VT31', '20180222-57NYooVH-VT__R6F20_RN1RP1')",10156,50399,0.16771530014036826
"('VT21', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",10139,58174,0.14841977368875617
"('VT19', '20180222-57OOsaVH-VT__R6F12_RN1RP2')",10125,59205,0.1460406750324535
"('VT34', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",10118,51749,0.16354437745486286
"('VT35', '20180222-57WIsaVL-VT__R6F5_RN1RP2')",10106,55403,0.15426887908531653
"('VT34', '20180222-57WIooVL-VT__R6F19_RN1RP3')",10105,49233,0.1702955947285045
"('VT21', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",10094,58738,0.14664690841469083
"('VT35', '20180222-57NYooVH-VT__R7F2_RN1RP3')",10092,55104,0.1547947726854408
"('VT22', '20180222-57OOsaVH-VT__R6F13_RN1RP3')",10091,59379,0.14525694544407658
"('VT22', '20180222-57WIooVH-VT__R6F14_RN1RP1')",10085,58198,0.14769415520700613
"('VT31', '20180222-57WIooVL-VT__R6F19_RN1RP3')",10081,47989,0.17360082658859996
"('VT23', '20180222-57WIooVH-VT__R6F16_RN1RP3')",10065,56880,0.15034730002240645
"('VT25', '20180222-57WIsaVL-VT__R6F5_RN1RP2')",10047,59004,0.14550115132293523
"('VT29', '20180222-57OOooVH-VT__R8F11_RN1RP3')",10035,51074,0.16421476378274885
"('VT26', '20180222-57WIsaVL-VT__R6F6_RN1RP3')",10025,57590,0.1482659173260371
"('VT35', '20180222-57WIooVL-VT__R6F19_RN1RP3')",10002,52455,0.160142177818339
"('VT34', '20180222-57WIsaVL-VT__R6F6_RN1RP3')",9995,52174,0.16077144557576928
"('VT21', '20180222-57NYsaVH-VT__R6F10_RN1RP3')",9973,58933,0.14473340492845327
"('VT34', '20180222-57WIooVH-VT__R6F16_RN1RP3')",9957,50919,0.16356199487482753
"('VT34', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",9956,52467,0.15949249475353636
"('VT19', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",9937,58942,0.14426748355812366
"('VT24', '20180222-57WIooVH-VT__R6F16_RN1RP3')",9934,57142,0.14810066193571472
"('VT24', '20180222-70OOooVH-VT__R7F4_RN1RP3')",9933,55032,0.15289771415377512
"('VT22', '20180222-57NYooVH-VT__R7F1_RN1RP2')",9922,58934,0.14409782734983154
"('VT35', '20180222-57OOooVH-VT__R7F3_RN1RP1')",9921,52088,0.15999290425583382
"('VT34', '20180222-57OOsaVH-VT__R6F12_RN1RP2')",9919,53180,0.15719741992741565
"('VT20', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",9825,60022,0.14066459547296234
"('VT19', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",9822,58617,0.14351466269232455
"('VT35', '20180222-57OOsaVH-VT__R6F11_RN1RP1')",9799,56567,0.14765090558418467
"('VT34', '20180222-57NYooVH-VT__R7F1_RN1RP2')",9795,52529,0.15716256979654708
"('VT31', '20180222-57WIooVH-VT__R6F15_RN1RP2')",9765,49478,0.16482960012153336
"('VT23', '20180222-70OOooVH-VT__R7F4_RN1RP3')",9732,55092,0.15012958163643095
"('VT19', '20180222-57NYsaVH-VT__R6F10_RN1RP3')",9726,59264,0.1409769531816205
"('VT34', '20180222-57WIooVL-VT__R6F17_RN1RP1')",9711,50427,0.1614785992217899
"('VT34', '20180222-57NYsaVH-VT__R6F10_RN1RP3')",9708,52825,0.15524603009610927
"('VT26', '20180222-70OOooVH-VT__R7F4_RN1RP3')",9693,54659,0.15062468920934857
"('VT26', '20180222-57WIooVH-VT__R6F16_RN1RP3')",9666,56958,0.1450828530259366
"('VT30', '20180222-57WIooVL-VT__R6F19_RN1RP3')",9635,47522,0.16857077873226375
"('VT21', '20180222-57WIsaVL-VT__R6F6_RN1RP3')",9627,59240,0.13979119171736826
"('VT27', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",9625,58805,0.14065468361829606
"('VT23', '20180222-57WIooVL-VT__R6F17_RN1RP1')",9609,56972,0.14432045178053798
"('VT20', '20180222-57OOsaVH-VT__R6F13_RN1RP3')",9588,60891,0.136040522708892
"('VT19', '20180222-57WIsaVL-VT__R6F6_RN1RP3')",9582,59318,0.1390711175616836
"('VT27', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",9553,58869,0.1396188360468855
"('VT23', '20180222-57NYooVH-VT__R6F20_RN1RP1')",9550,57801,0.1417944796662262
"('VT20', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",9543,60660,0.13593436177941112
"('VT21', '20180222-57WIooVL-VT__R6F18_RN1RP2')",9511,58334,0.14018719139214386
"('VT20', '20180222-57NYooVH-VT__R7F1_RN1RP2')",9506,60487,0.13581358135813582
"('VT29', '20180222-57WIsaVL-VT__R6F5_RN1RP2')",9480,55344,0.1462421325435024
"('VT34', '20180222-57OOsaVH-VT__R6F13_RN1RP3')",9445,53958,0.14896771446146082
"('VT27', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",9435,59105,0.13765684271957981
"('VT34', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",9422,52991,0.15096213929790267
"('VT30', '20180222-57NYooVH-VT__R6F20_RN1RP1')",9416,50326,0.15761106089518262
"('VT28', '20180222-57WIooVL-VT__R6F19_RN1RP3')",9363,47220,0.16547372885849107
"('VT29', '20180222-57NYsaVH-VT__R6F8_RN1RP1')",9328,55613,0.1436380714802667
"('VT27', '20180222-57OOsaVH-VT__R6F13_RN1RP3')",9317,59784,0.13483162327607415
"('VT21', '20180222-57OOooVH-VT__R7F3_RN1RP1')",9312,57868,0.1386126823459363
"('VT20', '20180222-57WIooVH-VT__R6F14_RN1RP1')",9299,60301,0.13360632183908047
"('VT24', '20180222-57WIooVL-VT__R6F17_RN1RP1')",9251,57467,0.13865823316046644
"('VT25', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",9250,59193,0.13514895606563126
"('VT22', '20180222-57OOooVH-VT__R7F3_RN1RP1')",9242,58098,0.13724383724383724
"('VT24', '20180222-57NYooVH-VT__R6F20_RN1RP1')",9237,58251,0.13686877667140826
"('VT22', '20180222-57OOsaVH-VT__R6F12_RN1RP2')",9229,60069,0.13317844670841872
"('VT25', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",9212,59256,0.1345446047788748
"('VT27', '20180222-57NYooVH-VT__R7F1_RN1RP2')",9187,59334,0.13407568482654952
"('VT21', '20180222-57WIooVH-VT__R6F16_RN1RP3')",9164,58947,0.13454508082394914
"('VT32', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",9159,51958,0.1498601043899406
"('VT30', '20180222-57WIooVH-VT__R6F15_RN1RP2')",9153,49334,0.1564963154205208
"('VT19', '20180222-57OOooVH-VT__R7F3_RN1RP1')",9129,58143,0.13570281840884765
"('VT32', '20180222-57OOsaVH-VT__R6F12_RN1RP2')",9128,53257,0.14631722369159253
"('VT19', '20180222-57WIooVL-VT__R6F18_RN1RP2')",9113,58776,0.1342338228579004
"('VT32', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",9099,52502,0.14770864109348875
"('VT32', '20180222-57WIooVH-VT__R6F16_RN1RP3')",9094,50909,0.15155908871223106
"('VT22', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",9088,59766,0.13198942690330265
"('VT26', '20180222-57WIooVL-VT__R6F17_RN1RP1')",9063,57188,0.13679793512550753
"('VT22', '20180222-70OOooVH-VT__R7F4_RN1RP3')",9055,57340,0.13638075156261767
"('VT27', '20180222-57WIooVH-VT__R6F14_RN1RP1')",9035,58938,0.13292042428611361
"('VT32', '20180222-57WIsaVL-VT__R6F6_RN1RP3')",9031,52337,0.14716138704210663
"('VT31', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",9022,51769,0.14841012649898833
"('VT20', '20180222-57OOsaVH-VT__R6F12_RN1RP2')",9005,61408,0.12788831607799697
"('VT22', '20180222-57NYsaVH-VT__R6F10_RN1RP3')",9002,59998,0.13046376811594204
"('VT34', '20180222-57WIooVL-VT__R6F18_RN1RP2')",8986,51338,0.14896227040647173
"('VT26', '20180222-57NYooVH-VT__R6F20_RN1RP1')",8985,58072,0.13399048570619027
"('VT23', '20180222-57OOooVH-VT__R8F11_RN1RP3')",8977,56905,0.13625876567195896
"('VT19', '20180222-57WIooVH-VT__R6F16_RN1RP3')",8959,59274,0.13130010405522255
"('VT29', '20180222-57NYooVH-VT__R7F2_RN1RP3')",8951,55671,0.1385131998390641
"('VT34', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",8941,53394,0.14343466752225875
"('VT32', '20180222-57NYsaVH-VT__R6F10_RN1RP3')",8934,52761,0.1448091417456844
"('VT28', '20180222-57NYooVH-VT__R6F20_RN1RP1')",8927,50446,0.1503545382581308
"('VT21', '20180222-57NYooVH-VT__R6F20_RN1RP1')",8916,59501,0.1303184880950641
"('VT32', '20180222-57WIooVL-VT__R6F17_RN1RP1')",8913,50328,0.15045323340254216
"('VT20', '20180222-57NYsaVH-VT__R6F10_RN1RP3')",8906,61236,0.1269710016823016
"('VT31', '20180222-57OOsaVH-VT__R6F12_RN1RP2')",8904,53275,0.1431994724907123
"('VT22', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",8891,59762,0.12950635806155594
"('VT28', '20180222-57WIooVH-VT__R6F15_RN1RP2')",8864,49078,0.15298056677367022
"('VT25', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",8806,59848,0.1282663792350045
"('VT29', '20180222-57OOooVH-VT__R7F3_RN1RP1')",8798,52463,0.14361502424054456
"('VT25', '20180222-57OOsaVH-VT__R6F13_RN1RP3')",8787,60290,0.1272058717083834
"('VT20', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",8761,61307,0.12503567962550666
"('VT34', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",8760,53631,0.14040486608645478
"('VT29', '20180222-57OOsaVH-VT__R6F11_RN1RP1')",8751,57007,0.13307886492898202
"('VT31', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",8750,52647,0.14251510660129973
"('VT25', '20180222-57NYooVH-VT__R7F1_RN1RP2')",8728,59644,0.1276545954484292
"('VT25', '20180222-57WIooVH-VT__R6F14_RN1RP1')",8709,59274,0.1281055558007149
"('VT31', '20180222-57WIsaVL-VT__R6F6_RN1RP3')",8696,52581,0.141912952657604
"('VT22', '20180222-57WIsaVL-VT__R6F6_RN1RP3')",8684,60263,0.12595181806314995
"('VT19', '20180222-57NYooVH-VT__R6F20_RN1RP1')",8644,59857,0.1261879388622064
"('VT24', '20180222-57OOooVH-VT__R8F11_RN1RP3')",8635,57417,0.1307303336764973
"('VT26', '20180222-57OOooVH-VT__R8F11_RN1RP3')",8626,56869,0.13170471028322772
"('VT32', '20180222-57NYooVH-VT__R7F1_RN1RP2')",8626,52994,0.13998701720220708
"('VT31', '20180222-57NYsaVH-VT__R6F10_RN1RP3')",8621,52858,0.1402267440914784
"('VT22', '20180222-57WIooVL-VT__R6F18_RN1RP2')",8594,59325,0.1265330761642545
"('VT21', '20180222-57WIooVL-VT__R6F17_RN1RP1')",8576,59215,0.12650646841026095
